"item" "cond" "region" "subj" "expt" "rt" "region.id" "region2" "probs" "dist.exp" "dist.noexp" "exp" "dist" "int" "lrt"
"434" 11 "b" "CPLightVerb" 52 "CP1" 578 4 "crit" 1 1 0 1 1 1 6.35957386867238
"436" 11 "b" "CPLightVerb" 60 "CP1" 1437 4 "crit" 1 1 0 1 1 1 7.27031288607902
"438" 11 "b" "CPLightVerb" 56 "CP1" 1750 4 "crit" 1 1 0 1 1 1 7.46737106691756
"441" 11 "b" "CPLightVerb" 48 "CP1" 1485 4 "crit" 1 1 0 1 1 1 7.3031700512368
"443" 11 "b" "CPLightVerb" 36 "CP1" 984 4 "crit" 1 1 0 1 1 1 6.89162589705225
"445" 11 "b" "CPLightVerb" 16 "CP1" 1672 4 "crit" 1 1 0 1 1 1 7.42177579364465
"447" 11 "b" "CPLightVerb" 4 "CP1" 2454 4 "crit" 1 1 0 1 1 1 7.80547462527086
"448" 11 "b" "CPLightVerb" 28 "CP1" 547 4 "crit" 1 1 0 1 1 1 6.30444880242198
"451" 11 "c" "MainVerb" 41 "CP1" 469 4 "crit" 0 0 -1 -1 -1 1 6.15060276844628
"454" 11 "c" "MainVerb" 25 "CP1" 438 4 "crit" 0 0 -1 -1 -1 1 6.08221891037645
"455" 11 "c" "MainVerb" 33 "CP1" 531 4 "crit" 0 0 -1 -1 -1 1 6.27476202124194
"457" 11 "c" "MainVerb" 53 "CP1" 468 4 "crit" 0 0 -1 -1 -1 1 6.14846829591765
"459" 11 "c" "MainVerb" 17 "CP1" 1047 4 "crit" 0 0 -1 -1 -1 1 6.95368421087054
"464" 11 "c" "MainVerb" 57 "CP1" 703 4 "crit" 0 0 -1 -1 -1 1 6.55535689181067
"469" 11 "c" "MainVerb" 49 "CP1" 562 4 "crit" 0 0 -1 -1 -1 1 6.33150184989369
"471" 11 "c" "MainVerb" 13 "CP1" 750 4 "crit" 0 0 -1 -1 -1 1 6.62007320653036
"476" 11 "c" "MainVerb" 45 "CP1" 1734 4 "crit" 0 0 -1 -1 -1 1 7.45818615734049
"478" 11 "c" "MainVerb" 5 "CP1" 891 4 "crit" 0 0 -1 -1 -1 1 6.79234442747081
"480" 11 "c" "MainVerb" 21 "CP1" 688 4 "crit" 0 0 -1 -1 -1 1 6.53378883793334
"483" 11 "c" "MainVerb" 1 "CP1" 484 4 "crit" 0 0 -1 -1 -1 1 6.18208490671663
"485" 11 "c" "MainVerb" 29 "CP1" 1641 4 "crit" 0 0 -1 -1 -1 1 7.40306109109009
"488" 11 "c" "MainVerb" 9 "CP1" 688 4 "crit" 0 0 -1 -1 -1 1 6.53378883793334
"492" 11 "c" "MainVerb" 37 "CP1" 578 4 "crit" 0 0 -1 -1 -1 1 6.35957386867238
"508" 11 "d" "MainVerb" 34 "CP1" 719 4 "crit" 0 0 1 -1 1 -1 6.57786135772105
"511" 11 "d" "MainVerb" 46 "CP1" 1031 4 "crit" 0 0 1 -1 1 -1 6.93828448401696
"512" 11 "d" "MainVerb" 30 "CP1" 594 4 "crit" 0 0 1 -1 1 -1 6.38687931936265
"513" 11 "d" "MainVerb" 42 "CP1" 297 4 "crit" 0 0 1 -1 1 -1 5.6937321388027
"514" 11 "d" "MainVerb" 18 "CP1" 844 4 "crit" 0 0 1 -1 1 -1 6.73815249459596
"516" 11 "d" "MainVerb" 22 "CP1" 938 4 "crit" 0 0 1 -1 1 -1 6.84374994900622
"523" 11 "d" "MainVerb" 58 "CP1" 1266 4 "crit" 0 0 1 -1 1 -1 7.14361760270412
"525" 11 "d" "MainVerb" 38 "CP1" 593 4 "crit" 0 0 1 -1 1 -1 6.38519439899773
"527" 11 "d" "MainVerb" 54 "CP1" 1828 4 "crit" 0 0 1 -1 1 -1 7.5109777520141
"528" 11 "d" "MainVerb" 6 "CP1" 1015 4 "crit" 0 0 1 -1 1 -1 6.92264389147589
"529" 11 "d" "MainVerb" 50 "CP1" 860 4 "crit" 0 0 1 -1 1 -1 6.75693238924755
"532" 11 "d" "MainVerb" 26 "CP1" 437 4 "crit" 0 0 1 -1 1 -1 6.07993319509559
"534" 11 "d" "MainVerb" 10 "CP1" 828 4 "crit" 0 0 1 -1 1 -1 6.71901315438526
"535" 11 "d" "MainVerb" 2 "CP1" 844 4 "crit" 0 0 1 -1 1 -1 6.73815249459596
"536" 11 "d" "MainVerb" 14 "CP1" 1079 4 "crit" 0 0 1 -1 1 -1 6.98378996525813
"543" 12 "a" "CPLightVerb" 22 "CP1" 438 4 "crit" 1 -1 0 1 -1 -1 6.08221891037645
"549" 12 "a" "CPLightVerb" 6 "CP1" 750 4 "crit" 1 -1 0 1 -1 -1 6.62007320653036
"552" 12 "a" "CPLightVerb" 46 "CP1" 734 4 "crit" 1 -1 0 1 -1 -1 6.59850902861452
"556" 12 "a" "CPLightVerb" 54 "CP1" 485 4 "crit" 1 -1 0 1 -1 -1 6.18414889093748
"557" 12 "a" "CPLightVerb" 42 "CP1" 328 4 "crit" 1 -1 0 1 -1 -1 5.79301360838414
"562" 12 "a" "CPLightVerb" 50 "CP1" 750 4 "crit" 1 -1 0 1 -1 -1 6.62007320653036
"563" 12 "a" "CPLightVerb" 18 "CP1" 609 4 "crit" 1 -1 0 1 -1 -1 6.4118182677099
"566" 12 "a" "CPLightVerb" 30 "CP1" 547 4 "crit" 1 -1 0 1 -1 -1 6.30444880242198
"568" 12 "a" "CPLightVerb" 38 "CP1" 453 4 "crit" 1 -1 0 1 -1 -1 6.11589212548303
"569" 12 "a" "CPLightVerb" 58 "CP1" 984 4 "crit" 1 -1 0 1 -1 -1 6.89162589705225
"570" 12 "a" "CPLightVerb" 14 "CP1" 594 4 "crit" 1 -1 0 1 -1 -1 6.38687931936265
"574" 12 "a" "CPLightVerb" 2 "CP1" 437 4 "crit" 1 -1 0 1 -1 -1 6.07993319509559
"576" 12 "a" "CPLightVerb" 26 "CP1" 406 4 "crit" 1 -1 0 1 -1 -1 6.00635315960173
"580" 12 "a" "CPLightVerb" 34 "CP1" 907 4 "crit" 1 -1 0 1 -1 -1 6.81014245011514
"584" 12 "a" "CPLightVerb" 10 "CP1" 437 4 "crit" 1 -1 0 1 -1 -1 6.07993319509559
"587" 12 "b" "CPLightVerb" 15 "CP1" 641 4 "crit" 1 1 0 1 1 1 6.46302945692067
"591" 12 "b" "CPLightVerb" 23 "CP1" 469 4 "crit" 1 1 0 1 1 1 6.15060276844628
"592" 12 "b" "CPLightVerb" 11 "CP1" 1016 4 "crit" 1 1 0 1 1 1 6.92362862813843
"593" 12 "b" "CPLightVerb" 35 "CP1" 438 4 "crit" 1 1 0 1 1 1 6.08221891037645
